treatment,outcome,effect,stderr,p_value,error
earthquake_affected_annual_number,people_living_with_hiv_number_all_ages,,,,exog contains inf or nans
earthquake_deaths_annual_number,epidemic_deaths_annual_number,,,,exog contains inf or nans
expenditure_per_student_primary_percent_of_gdp_per_person,earthquake_deaths_annual_number,,,,exog contains inf or nans
inflation_annual_percent,economic_growth_over_the_past_10_years,,,,exog contains inf or nans
expenditure_per_student_primary_percent_of_gdp_per_person,epidemic_deaths_annual_number,,,,exog contains inf or nans
expenditure_per_student_secondary_percent_of_gdp_per_person,exports_percent_of_gdp,,,,exog contains inf or nans
industry_percent_of_gdp,external_debt_total_us_not_inflation_adjusted,,,,exog contains inf or nans
newborn_deaths,external_debt_total_us_not_inflation_adjusted,,,,exog contains inf or nans
renewable_water_cu_meters_per_person,extreme_temperature_affected_annual_number,,,,exog contains inf or nans
extreme_temperature_deaths_annual_number,falls_deaths_per_100000_people,,,,exog contains inf or nans
extreme_temperature_deaths_annual_number,female_population_with_projections,,,,exog contains inf or nans
total_sulfur_emission_kilotonnes,falls_deaths_per_100000_people,,,,exog contains inf or nans
population_aged_0_14_years_both_sexes_percent,females_aged_15plus_employment_rate_percent,,,,exog contains inf or nans
females_aged_15_24_employment_rate_percent,females_aged_65plus_labour_force_participation_rate_percent,,,,exog contains inf or nans
females_aged_15_24_employment_rate_percent,female_agriculture_workers_percent_of_female_employment,,,,exog contains inf or nans
females_aged_15_24_employment_rate_percent,male_agriculture_workers_percent_of_male_employment,,,,exog contains inf or nans
females_aged_25_54_labour_force_participation_rate_percent,female_agriculture_workers_percent_of_female_employment,,,,exog contains inf or nans
females_aged_65plus_labour_force_participation_rate_percent,female_agriculture_workers_percent_of_female_employment,,,,exog contains inf or nans
female_industry_workers_percent_of_female_employment,services_percent_of_gdp,,,,exog contains inf or nans
gdp_per_capita_yearly_growth,female_service_workers_percent_of_female_employment,,,,exog contains inf or nans
male_service_workers_percent_of_male_employment,female_service_workers_percent_of_female_employment,,,,exog contains inf or nans
services_percent_of_gdp,female_service_workers_percent_of_female_employment,,,,exog contains inf or nans
flood_affected_annual_number,males_aged_65plus_labour_force_participation_rate_percent,,,,exog contains inf or nans
flood_deaths_annual_number,food_supply_kilocalories_per_person_and_day,,,,exog contains inf or nans
infectious_tb_detection_rate_percent,foreign_direct_investment_net_inflows_percent_of_gdp,,,,exog contains inf or nans
under_five_mortality_from_ihme_per_1000_born,foreign_direct_investment_net_inflows_percent_of_gdp,,,,exog contains inf or nans
gapminder_gini,foreign_direct_investment_net_outflows_percent_of_gdp,,,,exog contains inf or nans
infant_mortality_rate_per_1000_births,gapminder_gini,,,,exog contains inf or nans
gdppercapita_growth_over_next_10_years,surviving_kids_per_woman,,,,exog contains inf or nans
gdp_total_yearly_growth,gnipercapita_atlasmethod_current_us,,,,exog contains inf or nans
gnipercapita_ppp_current_international,government_health_spending_of_total_gov_spending_percent,,,,exog contains inf or nans
government_health_spending_of_total_gov_spending_percent,government_health_spending_per_person_international_dollar,,,,exog contains inf or nans
